"soc_code","soc_title"
"25102200","Mathematical Science Teachers, Postsecondary"
"13104103","Equal Opportunity Representatives and Officers"
"15125200","Software Developers,"
"19401201","Precision Agriculture Technicians"
"151241","Computer Network Architects"
"11201100","Advertising and Promotions Managers"
"15125501","Video Game Designers"
"15129800","Software Quality Assurance Analysts and Testers, R&D"
"15129901","Web Administrators"
"15124301","DATA WAREHOU"
"27101400","Special Effects Artists and Animators"
"15129909","Information Technology Project Manager"
